Date,Open,High,Low,Close,Adj Close,Volume
2001-02-07,105.000000,105.000000,100.938278,101.507034,71.268707,35805888
2001-02-08,100.859375,102.484375,99.235153,102.121094,71.699829,34458240
2001-02-09,101.718750,102.218750,100.000778,100.394531,70.487602,27061504
2001-02-12,100.031250,100.031250,98.203125,99.515625,69.870529,27284224
2001-02-13,99.843750,101.718750,98.940628,99.589066,69.922096,29327680
2001-02-14,98.992188,100.000000,98.477341,99.505470,69.863396,21451776
2001-02-15,99.239059,101.870316,99.218750,101.493752,71.259407,29909440
2001-02-16,101.921875,102.218750,97.500000,98.352341,69.053772,40206656
2001-02-19,97.500000,99.093750,96.353127,98.378906,69.072433,30336704
2001-02-20,98.515625,98.984375,97.437500,97.838280,68.692856,23045696
2001-02-21,96.875000,96.875000,91.562500,92.332809,64.827415,65310336
2001-02-22,92.031250,92.031250,86.796875,90.526566,63.559265,54486912
2001-02-23,90.312500,91.218750,87.351563,87.853127,61.682213,46992000
2001-02-26,88.125000,90.609375,87.656250,89.433594,62.791862,40402176
2001-02-27,89.328125,90.609375,86.504684,88.042969,61.815506,50862080
2001-02-28,87.893753,99.218750,86.796875,97.525780,68.473457,77895168
2001-03-01,97.656250,97.656250,86.562500,88.481247,62.123219,63365312
2001-03-02,89.843750,92.109375,76.640625,77.504684,54.416531,74829568
2001-03-05,76.580467,78.046875,72.031250,74.910156,52.594879,81282816
2001-03-06,74.910156,74.910156,74.910156,74.910156,52.594879,0
2001-03-07,78.260941,81.562500,75.890625,81.132034,56.963299,68337792
2001-03-08,81.953125,82.968750,78.359375,80.175003,56.291378,36073088
2001-03-09,78.750000,78.750000,73.760941,76.717186,53.863617,31186368
2001-03-12,75.781250,76.343750,68.440628,69.541405,48.825447,28695744
2001-03-13,67.984375,73.421875,58.830467,65.502342,45.989597,43740032
2001-03-14,67.343750,74.984375,66.095314,73.774216,51.797321,27935360
2001-03-15,72.187500,76.875000,70.781250,76.124222,53.447269,26508288
2001-03-16,76.484375,78.046875,72.062500,73.432816,51.557632,26217472
2001-03-19,72.375000,74.218750,67.830467,69.619530,48.880306,26609344
2001-03-20,69.454689,71.484375,66.110153,68.221092,47.898445,21592512
2001-03-21,66.875000,71.375000,62.828125,69.992966,49.142483,32702976
2001-03-22,69.609375,69.921875,66.218750,67.318748,47.264893,22650624
2001-03-23,67.343750,69.375000,62.500000,65.823441,46.215046,34882176
2001-03-26,64.921875,67.906250,64.457031,67.470314,47.371323,20275776
2001-03-27,66.937500,74.312500,66.411720,72.781250,51.100174,40293184
2001-03-28,75.781250,76.953125,73.000000,73.576561,51.658569,29183360
2001-03-29,72.776566,72.776566,68.362503,68.919533,48.388828,31557248
2001-03-30,68.359375,68.359375,63.453125,63.808594,44.800400,30498944
2001-04-02,63.468750,65.140625,58.703907,64.263283,45.119629,40333248
2001-04-03,63.375000,65.281250,61.968750,63.664063,44.698925,28847232
2001-04-04,61.718750,61.718750,59.843750,61.162498,42.942574,20771456
2001-04-05,61.162498,61.162498,61.162498,61.162498,42.942574,0
2001-04-06,61.718750,66.055466,61.718750,62.954685,44.200874,32048448
2001-04-09,61.718750,62.734375,60.192188,62.035156,43.555267,15911040
2001-04-10,62.500000,63.265625,57.072655,59.813282,41.995266,35273920
2001-04-11,62.734375,64.036720,50.243752,50.243752,35.276459,41200640
2001-04-12,46.224216,47.453125,42.204685,44.709373,31.390732,80036608
2001-04-13,44.709373,44.709373,44.709373,44.709373,31.390732,0
2001-04-16,44.140625,48.281250,43.375000,47.838280,33.587547,43891264
2001-04-17,47.988281,49.406250,45.796875,47.744530,33.521729,40648000
2001-04-18,48.234375,55.383595,47.796875,55.383595,38.885166,43391808
2001-04-19,59.218750,64.245316,56.875000,59.754688,41.954132,49591872
2001-04-20,60.546875,62.406250,57.984375,59.664845,41.891052,31406144
2001-04-23,59.609375,59.804688,57.359375,58.107033,40.797306,21476224
2001-04-24,57.117970,61.234375,55.800781,60.064842,42.171894,27698688
2001-04-25,60.953125,62.250000,58.985935,60.089062,42.188892,26131968
2001-04-26,60.062500,62.187500,56.738281,57.414845,40.311321,25135680
